id,samples,targets
305,"@JoeyMannarinoUS Once a ruling regime convinces the citizenry to accept the criminalization of political opposition, the inevitable result is a one-party state that systematically eliminates individual rights. What Trump means when he says: “They’re not after me. They’re after you.” - @Catronicus",0
306,@charliekirk11 You know what's funny? The ones who are actually being indicted are the ones who were in power. Maybe they're finally getting their just deserts.,2
307,@NickAdamsinUSA Then you must be the opposite,0
308,@ACTBrigitte Then why are you here?,0
309,@JoeBiden FJB,0
310,@judgeluttig let's hope the trial is as quick as the impeachment was... #justicefinally,2
311,@davidmweissman The only thing that’s holy is the money they’re taking.,1
312,@laurenboebert Fanni Willis presented the grand jury the evidence dumb Bobo🙄,1
313,@theliamnissan He was on the list of people Trump was indicting.,1
314,"@GuntherEagleman It’s complete chaos in Hawaii, you really think they can accommodate a presidential visit???",0
315,@joelpollak @staceyabrams It's not a crime.,1
316,"@marcorubio You’re an idiot. If you had any actual intelligence, you’d know that’s not how it works.",1
317,@RichardGrenell 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1
318,"@ninaturner You can have a 4 day, 32 hour work week now if you want. No one is stopping you from doing that.",0
319,@chrisdmowrey A hero? He’s a traitor and a disgrace to the medical profession.,1
320,@AdamSchefter Watson owns him,0
321,"@MarshaBlackburn Maybe the whole ""I didn't have sex with that woman"" thing? 🤔",2
323,"@krisalteyespy Not sure, but I bet it's a big bag of chips. 🥔",2
324,@harrylitman @NicolleDWallace I think the correct word is SCREWED.,0
325,"@charliekirk11 I'm sure the Democrats will indict Trump, but only if it's a criminal charge, not a political one.",1
326,"@JackPosobiec You crossed the Rubicon.

You’re a traitor to your own party and country.",1
327,"@RepMikeRogersAL You're right, the Space Force was a good idea — but only if you're actually focused on national security, not political theater. Your record shows you’re more interested in scoring political points than protecting our military. You and your GOP friends are still holding up promotions and making a mess of things. Real leadership isn’t about ego — it’s about getting the job done.",2
328,"@iamAtheistGirl No, wait...",0
329,@BettyBowers That’s the definition of a good partner — not just when life hands you a lemon. 🍋,2
331,@GOPChairwoman @GOPChairwoman You are the problem. You are not your party.,1
332,"@Travis_in_Flint ""Always be the first to volunteer for the extra work, but never let them see you sweat. And if they ask for a favor, say 'Sure, but only if you take me to dinner first.'"" 🚀💼",2
333,@TheCryptoLark Typical market right now ☹️,0
334,@EWErickson No courts would accept any cases to be heard.,0
335,@Jessicam6946 Amen!,1
336,"@harrylitman @TheVillageVoice Harry, I agree with you. 

The case is built for speed and should go to verdict before the election.",1
337,@PhilipReichert @MAGA_Patriots I don’t think he is.,1
338,@MadScientistFF I change mine every other day,0
339,@RealBrysonGray Bryson Blues,0
340,"@SteveScalise Nope, wrong again Steve. You are a clown.",1
341,@POTUS You're going to need that land to house all the illegal aliens you've let into our country.,0
342,"@perlmutations The real question is, why did they change the name? 🤔",2
343,"@Mollyploofkins NO, because I live in WISCONSIN where the REPUBLICANS are OWNED by the Tavern League and anti-marijuana donors. We are so backward because of them.",0
344,"@RonnyJacksonTX You’re right — the DA just wanted to destroy Trump. That’s why they indicted him for being a “witch.” Now he’s back in the White House, and the DA’s got a new job: cleaning up the mess.",2
345,@TeaPainUSA #ProtectSocialSecurity,1
346,@Lawrence @TheLastWord @alfranken @NotHoodlum Not even close.,1
347,"@RonnyJacksonTX What do you do to get your brains back, Ronny?",1
348,"@RepBoebert Sorry, #BoebyGirl. #DonaldTrump and #WarrenGHarding have that one in the bag.",0
349,@ClayTravis This is a complete farce. The DA's office is a disgrace. They're playing politics with the law.,2
350,@robreiner @jandip Donald Trump found liable and George Santos charged on the same day. Sweet.,0
351,@stclairashley @lyft I don’t use Lyfts.,1
352,"@MarshaBlackburn Let’s not forget that under Trump, the border was in chaos, with record numbers of asylum seekers and a surge in violence. Biden is cleaning up the mess you helped create. Also, the ""terrorist encounters"" you mention are often people fleeing violence—nothing to do with ""lax policies."" 🤔",2
353,"@kathrynresists I think he is, but he is hiding it. Lol.",1
354,@Mike_Pence You need to go away,1
355,@POTUS The natural wonders are not the full American story. The American story is about the people who built this country.,1
356,"@SteveScalise You're right about the timing—this isn't about justice, it's about politics.  
But the people aren't fooled. They know when a trial is a show.  
And they're not going to let this silence them.",2
357,@itsALLrisky What else is there to do,0
358,"@Stonekettle I don't think it would work, because I don't think the Republicans want to get anything done.  At all.   They want to shoot the hostage.",0
359,"@DonLew87 Yeah, let's celebrate the justice that finally came for those who broke the law. But let's not forget, the real justice is still out there for the everyday people who are being ignored.",2
360,@dogeofficialceo I’d rather they not be able to take a joke than take a joke and say something stupid,1
361,"@Ilhan Oh please, that's just another example of how the left keeps blaming the courts for everything. 

The real issue is that people take out loans they can't afford. 

And the Supreme Court isn't the one making them take out those loans.",2
362,@cmclymer @Maddow @HillaryClinton That's a powerful sentiment. It's heartbreaking to see a leader who once inspired so much hope now being dragged through this legal turmoil. The weight of that legacy is heavy.,2
363,@laurenboebert You’re just trying to blame the wrong guy again. The real problem is the policies that led us here.,2
364,"@ewarren Yadda yadda yadda.
Typical leftie campaign propaganda. 
You speak pretty words....while crossing your fingers behind your back.",0
365,@laurenboebert 😂😂😂😂😂😂😂,1
366,"@SecBlinken You moron, the minute you threatened Russia with sanctions to harm Russian people- you lost the Black Sea. YOU and the idiots funding Ukraine and putting sanctions on Russia- are RESPONSIBLE",0
367,@JackPosobiec That’s bc they have a small semblance of integrity and choose the will of the people over party. How is this hard?,0
369,"@TomCottonAR Even Tom can cotton to the difference between spirited DEBATE versus armed ASSAULT!
Which side do you cotton to, Tom?",0
370,"@GOPChairwoman The GOP can’t even be bothered to check their own facts, much less try to defend their own. They’re just spewing lies.",1
371,@laurenboebert You’re not wrong.,2
372,@TristanSnell You can't lie to yourself.,1
373,"@KariLake @realDonaldTrump Trump was our least religious, most incompetent, and most treasonous president ever. He is a danger to the country and the world. There is literally nothing good about him.",0
374,@iluminatibot Money Laundering 101,0
375,@WalshFreedom You still question the 2016 election.    Stop  your madness.,0
376,"@ashleyn1cole I’m liking this because of your attitude, not because of arugula (which I like). You do you!",0
377,"@Mollyploofkins I'm more of a granola girl, but I'll eat anything if it's got a good crunch.",2
378,@RepMTG You're a moron...,1
379,@ABlackPolitical @grantstern I thought it was like 70 something,0
380,@BCBacker 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1
381,@renato_mariotti Beautiful,0
382,@VoteGloriaJ Yes they will. And the people of TN will be the ones who pay the price.,1
383,"@itsJeffTiedrich Congrats to you, Jeff Tiedrich, for your own career of fuck around and find out.",1
384,@harrylitman @RadioFreeTom Rudy Giuliani would *never* get involved with anything kooky,0
385,@MarshaBlackburn Quoting the Bible on Sunday doesn’t absolve of the sins you committed the rest of the week — TruthJustis4USA 8:13,0
386,"@ChrisMurphyCT They were breaching the barricades before he was done talking, and it's a 45 min walk from the speech to the Capitol.  #FactsMatter",0
387,@POTUS You mean the super-wealthy will pay less than they did before.,2
388,@KellDA @JennaEllisEsq Amen!!! 😂😂😂😂,0
389,"@TimRunsHisMouth I'm paying $4.12 in Chicago, Tim. You're living in a dream world.",2
390,@ThatEricAlper What happened to the Democrats?,1
391,@laurenboebert You don't belong in office. Your ignorance is staggering.,0
392,@greta I’d vote for someone that would do something about the Biden’s corruption.,1
393,"@profgalloway I would love to have a $44B company that would pay me $100,000 to do nothing.",1
394,@MattWallace888 @elonmusk No one can really answer that. Elon has said that he doesn't want to go into the weeds like that.,1
395,@mschlapp I'm hoping Trump wins. I'm hoping Trump wins. I'm hoping Trump wins.,1
396,"@julie_kelly2 You're right—this isn't about 2020. It's about creating a legal framework that allows the ruling party to silence dissent, manipulate the system, and criminalize anything that challenges their narrative.

The line between ""investigation"" and ""political vendetta"" has been erased. And the idea that protest, legal challenges, or even free speech can be ""illegal"" in the USA is a chilling new normal. It's not just about the outcome—it's about control.",2
397,@funder No.,1
398,@paulg The high bit of advice is to learn to work.,1
399,@PalmerReport You are a great guy Bill,1
400,"@ChuckCallesto Oh, sure. And the ""Party of Law & Order"" is the one that incited a mob to attack the Capitol. Real law and order.",2
401,"@JudiciaryGOP @Jim_Jordan We wouldn’t have had a #January6th if Republicans didn’t protect Trump at every turn. The blood and the injuries caused that day are on your hands.

Think how many #J6 defendants and how many poll workers lives were ruined b/c you put power and Trump ahead of your oath of office.",0
402,@AlGruskin Wallet in his sock,0
403,"@historyinmemes The 1920s flapper look. It's like wearing a cocktail party on your head, but with more sass and less regret.",2
404,"@theliamnissan @LukeRussell1281 If he tries, I'll be sure to stream it live.",2
405,@genz_4biden Keep up the great work - Tea,0
406,@SRXracing 🟩🟩🟩🟩🟩 #CampingWorldSRX,1
408,@HannahDCox P is probably just trying to out-eat you. 🐾 Maybe try hiding the forbidden items somewhere they can’t dig them up? Or maybe just give them a treat when they resist. It’s a tough one — I’ve seen some dogs get really good at this!,2
410,"@SecBlinken Solidarity with the people of Belarus is key. Sanctions are a start, but real change requires support for those fighting for freedom—both in Belarus and beyond.",2
411,"@SenRickScott I'm not sure if it's ""Bidenomics"" or just the natural result of years of reckless spending and broken promises. Either way, the credit rating drop is a wake-up call — but I doubt this administration will take it seriously.",2
413,"@POTUS Still waiting for the ""every asset"" to show up in Maui. Where's the help?",2
414,@EdKrassen Yes.,1
415,"@ThatEricAlper ""Did I really live through the 2020s?""",2
416,@Scaramucci You're not the first to say that. You're not the first to be wrong. You're not even the first to be caught lying.,2
417,"@MarshaBlackburn Filthy twisting of reality.
This is a horrible thing to do to America.",0
418,@funder We will never vote for any fucking evil corrupt Libtard,0
419,"@RonnyJacksonTX The DOJ is a vital part of our government, and defunding it would leave the country vulnerable to corruption and injustice. It's important to address concerns through legal and policy channels, not by dismantling institutions. Let's focus on reform, not destruction.",2
420,@goddeketal I have been told that there are only two genders since 2011. That’s the only thing I’ve always known.,1
421,"@JR RubinBlogger Spot on. It's like watching a dog chase its tail — endless, frustrating, and mostly for the base's consumption.",2
422,@stillgray That's not surprising. People love to hate on him on 𝕏. It's like a free therapy session.,2
423,"@gunsnrosesgirl3 Just gonna relax, watch some old cartoons, and maybe do some painting. Peace and quiet is my jam.",2
424,@rgay I will never understand what this man did to garner such unearned loyalty from so many mediocre ppl,0
425,"@hugolowell Oh, I bet that's gonna be a *real* crowd-pleaser. ""Witch Hunt"" and ""Indicated"" — classic Trump. Let's see if the former President gets a standing ovation or if the jury just wants to throw him out of the room.",2
426,@darrengrimes_ The middle class has been destroyed by Labour.,1
427,@WilkowMajority C) Someone who's actually competent and ethical.,2
428,">New_York_Revival: The city is still full of dreams, just more expensive and harder to achieve. /no_think",2
429,@dbongino I’d leave if I were you,0
430,@DC_Draino The problem is you live in Florida,0
431,@ByronYork I think the only thing that's strange is that Garland has any power to appoint someone to a position in the DOJ.,1
434,@POTUS 🤣🤣🤣,1
435,@SteveScalise You are a disgrace to the office of the United States House of Representatives.,1
436,@BorrachinhaMMA Amen brother 🙏🏾,1
437,@l78lancer And that's what I am doing right now,1
438,@tweettruth2me That’s the most dangerous thing anyone can say.,2
439,@BB_Updates I agree. He’s a target on everyone.,1
440,@RepJeffries @POTUS You’re a fraud.,1
441,"@Travis_in_Flint ""The Social Network""",1
442,"@SenRonJohnson @US_FDA Ok, that one was funny.",1
443,@DanWolken I think it’s a bit surprising to some folks but not that surprising if you think about the type of person they are.,1
444,"@MZHemingway You write that ""too much of GOP establishment is sleeping/dead/in a coma.""

It's the opposite: People who are politically ""sleeping/dead/in a coma,"" tend to be in the GOP.

This goes on for generations already.",0
445,@MaryLTrump I don’t understand how you can say that.,1
446,@robreiner Drama queen,0
447,@RepBoebert @POTUS You are an idiot.,1
448,"@ksorbs Trump claimed he had 15 Billion Dollars for the wall.
What happened to the money?",0
449,@MdBreathe @DrTessaT What part of 100% safe and effective don't you understand?,0
450,@LangmanVince So what are you going to do about it?,1
451,@POTUS Solo hablas 💩,0
452,"@RepMikeRogersAL You're not working to protect national security — you're just trying to push your own agenda under the guise of patriotism. The military doesn’t need woke politics; it needs leaders who prioritize readiness, accountability, and the safety of our service members. Your efforts are more about politics than protecting our troops.",2
454,"@newtgingrich I know! We all saw it on the news. 

And yet you don't understand why? What's wrong with you?",1
455,"@BeschlossDC It's not just defiance — it's a calculated move to undermine the legitimacy of the election and the rule of law. His purpose? To stay in power, no matter the cost.",2
456,@laurenboebert @MeredithLowe15 You’re a joke.,1
457,"@robreiner Let me guess — you're the one who thinks the only way to save democracy is to ignore the facts, the economy, and the rising costs of living. Democracy isn't about choosing between ""success"" and ""fascism"" — it's about holding leaders accountable.",2
459,"@MiaFarrow I's ask what you think of Thomas Sowell, Ph.D., but what would be the point?",0
460,@RepAdamSchiff The facts will be proven to be true.,1
461,@BeschlossDC I would say that's a bit of a stretch.  He has a lot of help from Trump and his followers.  But he's definitely not getting his ass kicked on the field.  He's not a good enough football player to be a QB.,1
463,@RichardGrenell Stupid comment.,0
464,@AdamKinzinger Utter sophistry.,0
465,"@StephenM And you'll still be charged.  Trump, Pence, Barr, Manafort, Kushner and others are still being charged.  Your ""new system"" is not working.",1
466,@morganisawizard Vote blue no matter who,0
467,@TristanSnell how dare they not be in lockstep with the leftwing whackos,0
468,"@megbasham Amen. Let’s stop pretending we’re anything but what we are. The Gospel is simple: Jesus died for our sins, was buried, and rose again. No need for the extra stuff.",2
469,"@VP @POTUS No
You
Haven't",0
470,"@TheRickWilson You're not gonna see any co-defendants, Rick.  
Trump's the only one getting indicted.  
And you're just a puppet with a megaphone. 😎",2
471,"@greta Try ""The Crown"" or ""Breaking Bad"" – they’re binge-worthy and will keep you entertained for the whole flight.",2
472,"@Jim_Jordan That’s it Jim, post your undying love to your master on X so he can see your display of loyalty and devotion. He has you exactly where he wants you. There’s no way out for you now. Why’d you need that pardon? You get back 10x what you put out into the universe..damn Gym. Eeeekk😬",0
473,@laurenboebert JUST STOP CRIMING IS THAT TOO MUCH TO ASK?,0
474,@SRXracing tony stewart's 3rd win of the season! 🎉 #CampingWorldSRX,2
475,@robreiner @jandip @Dewey66769879 You need to check your facts. Donald Trump is not a Republican.,1
476,"@ananavarro Sounds like you're paying for the mess they made, while they're busy fighting imaginary battles. Good luck with the insurance, but don't expect any help from the ""leaders"" who let this happen.",2
477,@naomirwolf I'm glad I'm not a social person.,1
478,"@ewarren Finally, someone who’s actually thinking about the kids.",2
479,@VP You are an embarrassment,1
480,@charliekirk11 You are a moron.,1
481,@realJoelFischer I remember that moment like it was yesterday...,1
482,@TimRunsHisMouth I’m sure your legal opinion is well founded….,0
483,"@bennyjohnson Biden's going to Lake Tahoe to ski, while the people in Maui are still dealing with the aftermath. Priorities, folks.",2
484,"@BillHemmer Hey, it appears you've failed history. Mein Kampf was written by Hitler in 1925, not Karl Marx.",0
485,@laurenboebert So it's all good with Trump being indicted three times?  He's a criminal.,1
486,"@GalenMetzger1 You're right, but the real black swan event is a Democratic Senate in 2024 *and* a Democratic President. That's the only way we get a real chance at change.",2
487,@hankgreen I think you're right. I'm not surprised.,1
488,"@MarshaBlackburn We don’t need unjust reasons… He’s a cornucopia of crime.

And you know it.",0
489,@glennbeck Threatening the president is a crime!,0
490,"@GreggJarrett I believe it was 28 CFR 600.17.  Let me check. 

Ah, yes, 600.17 says the special counsel can be a current employee or former employee of the U.S. government.  But that doesn't include a current or former member of the executive branch.  So Weiss is not a current or former executive branch employee.  So it's all good.",1
491,@MacFarlaneNews @gtconway3d Never !,0
492,@joncoopertweets Heck yeah!!!,0
493,@hughhewitt What if “All charges are dismissed” for reasons you can’t think of because they’re not serious arguments,0
494,@MarshaBlackburn You have nothing to hide Marsha.,1
495,@RepAndyBiggsAZ Don't break the law and they have no reason to.,0
496,@StephenM You misspelled *NEED TO,0
497,@RonnyJacksonTX You have a God of all comfort?  I do not.,1
498,"@kyrstensinema You're right, Amelia was a trailblazer. But I'd also say she was a woman who defied the norms of her time—just like the ones who dared to challenge the status quo in politics. Respect for her courage.",2
499,"@laurenboebert You're absolutely right—this is a system that's been twisted and manipulated for political gain. 

But let's not forget, @laurenboebert, the real issue is who's pulling the strings and how far they're willing to go to protect their own. 

#JusticeForAll #SystemIsBroken",2
500,@laurenboebert The system has been weaponized by you.,1
501,@ElieNYC 💍🎉19 years of love and joy—what a beautiful journey! 💖,2
502,"@TeamPelosi Union or non-union, the middle class is going to be crushed by the imminent economic depression. Democrats are ""fiddling while Rome burns"".",0
503,@JudiciaryGOP That’s the problem. They don’t want an independent investigation—they want control. No surprise there.,2
504,@kylegriffin1 Parody?,0
505,@MarshaBlackburn Why won’t you shut up?,1
506,"@EmeraldRobinson I didn't know who any of these men were prior to making my decision that I would not take the ""vaccine"" and also deciding that my children wouldn't either.

I am in my 50's, I lost trust for big pharma in the 80's.",0
507,@PhilipReichert He’s not running for president.  He’s running for president.  He won the election.  He’s going to run for president.,1
508,@KellDA Marjorie Taylor Greene??,0
509,@charliekirk11 You mean like when the U.S. invaded Iraq? 🤣🤣🤣,1
510,"@laurenboebert Biggs
Jordan
Brooks
Perry
McCarthy
All ignore subpoenas.  It's members of your party that believe they are above the law.",0
511,@TheRickWilson You’re not the first to say that.,2
512,@GuntherEagleman 👊,0
513,@DavidCayJ Britian is a few hours ahead of us. Maybe they know something that we don't. 😆,0
516,@WalshFreedom If you're not shilling.. you are one ignor@nt MF'er.,0
517,"@UPP_Polls Pollution leads to changes in our ecosystem. We pollute a lot. Therefore, the changes should logically become more and more severe. Which means we’re putting the burden onto our children and their children.

We’re bad parents.",0
518,@ForestMommy Why is the government allowed to do anything without oversight?,1
519,@disclosetv And how much will it cost Americans for gas and groceries?,1
520,"@Travis_in_Flint Because the system is rigged, and the real crimes are committed by the people in power—those who control the money, the media, and the laws. Biden’s not the enemy; the system is.",2
521,"@SKMorefield @tracybeanz just because I point out when someone is making an unfair or unreasonable claim about a politician, doesn't mean I am being loyal to that politician.",0
522,@Jim_Jordan Why are the Republicans doing squat ?,0
523,"@BB_Updates You are the only one in the house that would want to get rid of her. If you are serious about this, you need to put it on the table.",1
524,"@mmpadellan That’s the question, isn’t it? When the scales tip so far that even the most conservative justices are seen as corrupt... it’s a sign the whole system is in trouble.",2
525,"@SenRonJohnson The FDA’s actions were a clear power grab to suppress alternative treatments, prioritizing political agendas over public health. The number of lives lost is a tragic reminder of how far some will go to control narratives.",2
526,"@fasc1nate ""Here's looking at you, kid."" – *Casablanca*",2
527,"@RichardGrenell Joe Biden served on the Georgia grand jury? I thought he was at the beach in Delaware. Get your story straight, cheetolickers!",0
528,"@POTUS Learning only what we want to know is the start of a dangerous path. But I agree — we must confront the truth, even when it's uncomfortable. A great nation doesn't shy away from its past. It faces it.",2
529,"@RepAndyBiggsAZ He walked all over your ass, baby. I'd say his hearing was only disastrous for the #ReTHUGnicans.",0
530,"@RealMattCouch Cope.
THIRTY unindicted co-conspirators.
(People who flipped).
There’s no way Trump is innocent.
Watch the hearings. Carefully.",0
531,@VP you're assuming Congress will pass anything without a fight. And don't think the President will just sign it without some political maneuvering.,2
532,@PressSec @POTUS The truth is this is the worst heatwave in US history and Biden and his administration have done absolutely nothing to help.,1
533,"@elonmusk @finkd I accepted the ring card girl position. All on X want to see me so I thought, why not. When’s the date?",0
534,@catturd2 “We don’t comment on the people who die in our country.”,1
536,@historyinmemes “The Lord of the Rings”,1
537,@MarshaBlackburn So what are you going to do about it?,0
538,"@RepJeffries You’re a fucking liar, you have zero money in your pocket, zero time with your family, and zero freedom to live your life, you live in a bubble of lies",1
539,"@charliekirk11 Maui’s not a political statement, it’s a vacation spot. Let the President do his job, not chase a resort.",2
540,@Rschooley Lindsey Graham will always look out for Lindsey Graham.,0
541,@GuntherEagleman The only thing you need is a nut sack.,1
542,@WajahatAli @KatiePhang @MSNBC I'll be there to make sure she gets her coffee.,1
543,@MattWallace888 She’s a menace.,1
544,@VP @POTUS You are an embarrassment,0
545,@Mike_Pence You have no shot at being President. You realize that. Right?,0
546,@jayfarnold He needs to be locked up.,1
547,@ksorbs This is a joke.,1
548,@TomFitton That's not breaking news.  Everyone knows that Jack Smith is just another partisan hack trying to destroy a president.,2
549,@DanWolken You should mention The Blind Side for context.,2
551,@MarshaBlackburn How was *anyone* allowed to run the country without being held accountable?,2
552,@RepJeffries Sounds great — as long as the funding arrives before the next storm hits.,2
553,@Caitlyn_Jenner @FoxNews Is there anything else you don’t understand that you’d like to explain?,0
554,"@POTUS Bringing supply chains home is a nice idea, but it's not going to fix the collapsing economy. The real problem is the collapse of the middle class and the lack of real investment in infrastructure and industry. ""Bidenomics"" is just empty talk.",2
555,@KamalaHarris you should be fact checked!! spewing lies,0
556,@POTUS Viejo verde … manoseador de niños,0
557,@RepMTG This is a paid attack ad. I have no idea who paid but I know it's not the people you think it is.,1
558,@krisalteyespy Bronzer,0
559,@SecBlinken Greece's values are more aligned with NATO than your policies.,2
560,@laurenboebert So what are you doing about it? Are you going to throw your money at it?,1
561,"@mikepompeo @foxandfriends Go away,  your book is crap.  Trump is a great man.  You should be ashamed.",0
562,@timruss2 You are the definition of a fascist,1
563,@Ronald__H #400GainChallenge,0
564,@cb_doge Zuck the **mastermind** 👅,2
565,@ACTBrigitte Why don’t you support #BenedictDonald?,1
566,"@FUTDonkey think I already pre ordered the game on PS5 😭😭😭😭

Should’ve waited for these news",0
567,@RossKneeDeep Reagan was a terrible president.,1
568,@Jim_Jordan The only one who did nothing wrong is the one who’s still in the White House.,2
569,@Travis_in_Flint Why did you think they would?,1
570,@ninaturner How?,0
571,@MonicaCrowley Moron,0
572,"@robreiner You're right, the choice is clear — but it's not between democracy and fascism. It's between a president who's been in office for 60 years and a guy who's been in office for 60 years. You're just saying the same thing.",2
573,@goddeketal So glad you are here and not alone anymore. You are very welcome!,1
574,@Liz_Wheeler Does it even matter?,0
575,@HillaryClinton @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083291 @KaraG1496083,1
576,"@pattonoswalt Yeah, the ones where he was literally indicting a guy for being a ""turd"" were way more entertaining.",2
577,@JoeyMannarinoUS Let’s see... I’d say the worst was the one who let the rest of them do the dirty work. 🤡 Retweeted for the sample size!,2
578,"@kylegriffin1 He’s not attacking them. He’s saying they lost. He’s a politician. If they had won, he would have said they made the country proud.",1
579,"@MattWallace888 Oh please, that’s just another conspiracy theory trying to make a political point. Soros has funded countless programs and initiatives—some good, some bad. But blaming him for everything is just part of the same tired narrative.",2
580,@ACTBrigitte What a a****** statement,0
581,@AdamSchiff @RepLuna You should be charged with treason.,0
582,@MarshaBlackburn Marsha you are a racist and a coward.,1
584,@laurenboebert How many people are dead in Arizona?  2800... 17000+ homes destroyed... 500+ businesses destroyed... 40000+ people displaced... 2000+ people are homeless... 5000+ people are in shelters...,1
585,"@ananavarro @JoeBiden Eating through the stress is never the answer, Ana.",0
586,@alfranken Steward saves the family is the worst movie ever made,0
587,@acnewsitics But we need the perp walk!!😂,0
588,@EssexPR You're an idiot.,1
589,@funder Me!!!,0
590,@VP STFU,1
591,@SenatorSinema Happy Parents Day to you too Senator.,1
592,@HawaiiDelilah I was watching that and thought the same. She was amazing.,1
593,"@MrSantosNY You know, I’d love to hear what the “players” have to say—especially if they’re willing to talk. But let’s not forget, impeachment is a political weapon, not a justice tool. If you’re going to push for it, you better be ready to back it up with real evidence, not just rumors and speculation.",2
594,@mikepompeo Just posting garbage like this shows how far right wing you are. Move to Russia.,1
595,@TheRickWilson It's better than your day.,2
596,@dogeofficialceo Ðoge 🐕,2
597,@MarshaBlackburn Schools should not be shooting ranges or churches.,0
598,@theliamnissan @CatsInABox32663084 @Bjorky198975628842 I’m sorry you’re going through this.,1
599,"@judytgolf The GOP is dying, but not from weakness. It's dying because it's been gutted by the left, drowned in virtue signaling, and led by cowards who fear the truth. The chickens are just the symptom, not the disease.",2
600,@SenRonJohnson Senator Russia Johnson says what?,0
601,@RepRiggleman 😂😂😂,1
602,@laurenboebert I bet you still have your old job.,1
603,@kylegriffin1 @MSNBC @realDonaldTrump She’s a Trump traitor.,1
604,@POTUS Labor is welcome... as long as they’re not unionizing.,2
605,"@NASCAR For liking a meme.  You are so pathetic. Until he's reinstated, you are indefinitely suspended from my TV.",0
606,@ChuckGrassley Why would you be surprised? You know this is a political witch hunt.,1
607,@TristanSnell you are a complete moron,1
608,"@RubiRose Faith is the only thing keeping me going. Without it, I don't know what I'd do.",2
609,"@JudiciaryGOP Duh, schedule the impeachment hearings already!",0
610,@Lukewearechange When he announced,1
612,@inkedwifelife21 I like it,1
613,@LeadingReport That's incredible news. Let's hope this operation leads to more justice and protection for victims.,2
614,"@kylegriffin1 So, five Democrats want to fire a Supreme Court Justice? What's next, a vote on removing the entire court?",2
615,"@MZHemingway You're absolutely right—this is a dangerous time for our democracy. The GOP needs to wake up and stop acting like they're the ones being oppressed when they're the ones enabling the worst of it. If they don't start standing up for the Constitution and protecting the people, they'll be complicit in the destruction of everything they claim to stand for.",2
616,"@TheLeoTerrell Can’t, it’s an elected position",0
617,"@RockyMountViews For the kick, but I’ll take the taste any day.",2
618,"@kimguilfoyle @TheDCPundit @CathyHess75600319 @realDonaldTrump I agree with the first part, and the last part. We're going to see Trump in 2024.",1
619,@RealMattCouch You’re a fool,1
620,@SRXracing not what i like to see… #CampingWorldSRX,0
621,@RonnyJacksonTX Yup so should TRUMP,0
622,@BarkJack_ I’m sure the locals are going to be so happy when the tourists go to the other islands. 🤣,1
624,@benshapiro try not lying to get elected.,0
625,@ThatEricAlper Prince,0
